step,agnet1,agnet2,agnet3,agnet4
154,"[0.04925709217786789, -0.24824586510658264]","[-0.21078139543533325, 0.1752711981534958]","[-0.007217835634946823, 0.0085707176476717]","[-0.09137164056301117, 0.13957875967025757]"
155,"[0.04525473713874817, -0.23499979078769684]","[-0.19862677156925201, 0.16859950125217438]","[1.4741790294647217, 3.009371280670166]","[-0.08512648940086365, 0.13273568451404572]"
156,"[0.04152725636959076, -0.22246572375297546]","[-0.1872486025094986, 0.16213808953762054]","[1.2866853475570679, 2.8725221157073975]","[-0.07929594814777374, 0.12624254822731018]"
157,"[0.038059480488300323, -0.2106037735939026]","[-0.1765645146369934, 0.15588267147541046]","[1.1383183002471924, 2.7575137615203857]","[-0.07385270297527313, 0.1200794130563736]"
158,"[0.03483746200799942, -0.19937613606452942]","[-0.16651049256324768, 0.1498306691646576]","[1.0205918550491333, 2.659555196762085]","[-0.06877157092094421, 0.11422805488109589]"
159,"[0.03184656798839569, -0.18874803185462952]","[-0.15703509747982025, 0.14397986233234406]","[0.9264870882034302, 2.574526071548462]","[-0.064028799533844, 0.1086704432964325]"
160,"[0.029073327779769897, -0.17868606746196747]","[-0.14809636771678925, 0.13832725584506989]","[0.8503589630126953, 2.4990968704223633]","[-0.05960183963179588, 0.10339139401912689]"
161,"[0.026504050940275192, -0.16915951669216156]","[-0.13965874910354614, 0.1328694075345993]","[0.7877753973007202, 2.4306538105010986]","[-1.5894701480865479, 0.11149227619171143]"
162,"[0.024126190692186356, -0.16013915836811066]","[-0.1316906064748764, 0.12760193645954132]","[0.735326886177063, 2.367173194885254]","[-1.4679385423660278, 0.06588920950889587]"
163,"[0.021927177906036377, -0.1515975445508957]","[-0.12416495382785797, 0.1225205808877945]","[0.690437376499176, 2.307095527648926]","[-1.3591015338897705, 0.03807215392589569]"
164,"[0.01989569328725338, -0.14350879192352295]","[-0.11705636978149414, 0.11762015521526337]","[0.6511896252632141, 2.249221086502075]","[-1.2621301412582397, 0.020940227434039116]"
165,"[0.018020443618297577, -0.1358485072851181]","[-0.1103413999080658, 0.11289601027965546]","[0.6161746382713318, 2.192626714706421]","[-1.175618052482605, 0.010295717045664787]"
166,"[0.01629071868956089, -0.12859399616718292]","[-0.10399870574474335, 0.10834281146526337]","[0.5843697190284729, 2.1366050243377686]","[-1.098049283027649, 0.0036545302718877792]"
167,"[0.014696888625621796, -0.12172351032495499]","[-0.09800803661346436, 0.10395583510398865]","[0.5550380349159241, 2.080611228942871]","[-1.028017520904541, -0.00046368688344955444]"
168,"[0.013229204341769218, -0.11521662771701813]","[-0.09235051274299622, 0.09972967207431793]","[0.527655839920044, 2.0242342948913574]","[-0.964310884475708, -0.002951657399535179]"
169,"[0.01187930442392826, -0.10905400663614273]","[-0.08700814843177795, 0.09565950930118561]","[0.5018536448478699, 1.967164397239685]","[-0.9059289693832397, -0.0043565575033426285]"
170,"[0.010638503357768059, -0.10321744531393051]","[-0.08196417987346649, 0.0917404294013977]","[0.4773741662502289, 1.909175992012024]","[-0.8520668148994446, -0.005018193274736404]"
171,"[0.009499268606305122, -0.09768960624933243]","[-0.07720240950584412, 0.08796785771846771]","[0.454041451215744, 1.8501131534576416]","[-0.8020882606506348, -0.005153065547347069]"
172,"[0.008454062044620514, -0.09245430678129196]","[-0.07270769774913788, 0.08433683216571808]","[0.43173810839653015, 1.7898789644241333]","[-0.7554939389228821, -0.004902269691228867]"
173,"[0.007496166974306107, -0.08749640733003616]","[-0.06846566498279572, 0.08084292709827423]","[0.41038838028907776, 1.7284305095672607]","[-0.7118930220603943, -0.004362558946013451]"
174,"[0.006619218736886978, -0.08280085772275925]","[-0.06446275115013123, 0.07748176902532578]","[0.3899472653865814, 1.6657719612121582]","[-0.6709787845611572, -0.003602268174290657]"
175,"[0.005817260593175888, -0.07835415005683899]","[-0.06068583205342293, 0.07424888014793396]","[0.3703911006450653, 1.601955771446228]","[-0.6325067281723022, -0.002673134207725525]"
176,"[0.005084723234176636, -0.0741429403424263]","[-0.05712277814745903, 0.07114019989967346]","[0.3517123758792877, 1.53708016872406]","[-0.5962798595428467, -0.0016161222010850906]"
177,"[0.00441635400056839, -0.07015517354011536]","[-0.053761716932058334, 0.0681513249874115]","[0.3339153826236725, 1.4712891578674316]","[-0.5621349215507507, -0.0004653315991163254]"
178,"[0.003807343542575836, -0.06637885421514511]","[-0.05059188976883888, 0.06527841091156006]","[0.3170126676559448, 1.40477454662323]","[-0.5299334526062012, 0.0007499363273382187]"
179,"[0.0032531432807445526, -0.06280285120010376]","[-0.04760264977812767, 0.06251747906208038]","[0.30102214217185974, 1.3377734422683716]","[-0.4995555579662323, 0.0020042825490236282]"
180,"[0.0027496106922626495, -0.05941695719957352]","[-0.04478416219353676, 0.059864744544029236]","[0.28596505522727966, 1.2705689668655396]","[-0.47089341282844543, 0.0032755564898252487]"
181,"[0.0022928081452846527, -0.05621092766523361]","[-0.04212697967886925, 0.057316407561302185]","[0.27186259627342224, 1.2034857273101807]","[-0.4438501000404358, 0.004543764516711235]"
182,"[0.0018789470195770264, -0.05317535996437073]","[-0.039622191339731216, 0.05486893653869629]","[0.2587340176105499, 1.1368838548660278]","[-0.41833508014678955, 0.005791699513792992]"
183,"[0.0015047378838062286, -0.050301551818847656]","[-0.03726125881075859, 0.052518755197525024]","[0.24659229815006256, 1.0711499452590942]","[-0.3942641615867615, 0.007005413994193077]"
184,"[0.001167096197605133, -0.04758082330226898]","[-0.03503629192709923, 0.05026240646839142]","[0.23544125258922577, 1.0066853761672974]","[-0.3715580999851227, 0.00817246176302433]"
185,"[1.8014631271362305, -0.8646882176399231]","[-0.032940033823251724, 0.04809656739234924]","[0.22527077794075012, 0.9438888430595398]","[-0.35014164447784424, 0.009283306077122688]"
186,"[1.748458743095398, -0.6551944017410278]","[-0.030964788049459457, 0.046018049120903015]","[0.21605491638183594, 0.8831409215927124]","[-0.32994362711906433, 0.01033003069460392]"
187,"[1.6790707111358643, -0.5136740207672119]","[-0.029104243963956833, 0.04402363300323486]","[0.2077481895685196, 0.8247846961021423]","[-0.3108966648578644, 0.011306772008538246]"
188,"[1.5998964309692383, -0.42129620909690857]","[-0.02735179290175438, 0.04211021959781647]","[0.2002856582403183, 0.769109308719635]","[-0.29293617606163025, 0.01220938004553318]"
189,"[1.5164399147033691, -0.36160656809806824]","[-0.025701280683279037, 0.04027491807937622]","[0.19358429312705994, 0.7163353562355042]","[-0.2760013937950134, 0.01303565688431263]"
190,"[1.4324328899383545, -0.32253652811050415]","[-0.02414712682366371, 0.03851483762264252]","[0.18754583597183228, 0.6666092276573181]","[-0.2600349485874176, 0.01378360204398632]"
191,"[1.3500515222549438, -0.29610446095466614]","[-0.022683650255203247, 0.03682723641395569]","[0.18206311762332916, 0.6199982762336731]","[-0.24498170614242554, 0.01445368118584156]"
192,"[1.2704111337661743, -0.2773245871067047]","[-0.021306060254573822, 0.03520926833152771]","[0.17702575027942657, 0.5764968991279602]","[-0.23079019784927368, 0.015047052875161171]"
193,"[1.1940048933029175, -0.2631787061691284]","[-0.020009323954582214, 0.03365849703550339]","[0.1723269373178482, 0.5360365509986877]","[-0.21741172671318054, 0.015564912930130959]"
194,"[1.1209995746612549, -0.2518693804740906]","[-0.018788624554872513, 0.03217215836048126]","[0.1678692251443863, 0.4984975755214691]","[-0.20479987561702728, 0.016009537503123283]"
195,"[1.0514122247695923, -0.24233421683311462]","[-0.017639797180891037, 0.030747974291443825]","[0.1635686159133911, 0.46372419595718384]","[-0.19291117787361145, 0.016383854672312737]"
196,"[0.9852032661437988, -0.23394381999969482]","[-0.01655912771821022, 0.02938350848853588]","[0.15935735404491425, 0.43153953552246094]","[-0.18170441687107086, 0.01669120229780674]"
197,"[0.922319233417511, -0.22632181644439697]","[-0.01554228737950325, 0.028076427057385445]","[0.15518422424793243, 0.4017563462257385]","[-0.17114078998565674, 0.016934750601649284]"
198,"[0.8627082705497742, -0.21923743188381195]","[-0.014585334807634354, 0.026824602857232094]","[0.1510138213634491, 0.37418797612190247]","[-0.16118372976779938, 0.01711791194975376]"
199,"[0.8063187599182129, -0.2125437706708908]","[-0.013685621321201324, 0.025625718757510185]","[0.146824449300766, 0.34865400195121765]","[-0.15179874002933502, 0.01724480278789997]"
200,"[0.7530956864356995, -0.20614279806613922]","[-0.012839499861001968, 0.024477893486618996]","[0.14260607957839966, 0.32498469948768616]","[-0.14295309782028198, 0.01731899194419384]"
201,"[0.7029739022254944, -0.19996501505374908]","[-0.01204361766576767, 0.023379040881991386]","[0.13835729658603668, 0.303024023771286]","[-0.13461613655090332, 0.01734425313770771]"
202,"[0.6558742523193359, -0.1939590871334076]","[-0.011295288801193237, 0.02232709713280201]","[0.1340833157300949, 0.28262922167778015]","[-0.1267589032649994, 0.017324471846222878]"
203,"[0.6117006540298462, -0.18808597326278687]","[-0.010591935366392136, 0.021320385858416557]","[0.12979361414909363, 0.2636716365814209]","[-0.11935420334339142, 0.017263056710362434]"
204,"[0.5703415274620056, -0.1823163479566574]","[-0.009930375963449478, 0.02035694383084774]","[0.12550026178359985, 0.2460349053144455]","[-0.11237591505050659, 0.017163893207907677]"
205,"[0.5316717028617859, -0.17662832140922546]","[-0.009308632463216782, 0.019435131922364235]","[0.12121640145778656, 0.22961457073688507]","[-0.10580010712146759, 0.017029812559485435]"
206,"[0.4955562651157379, -0.17100733518600464]","[-0.008724335581064224, 0.01855337806046009]","[0.11695563793182373, 0.21431635320186615]","[-0.09960347414016724, 0.016864391043782234]"
207,"[0.4618539810180664, -0.1654442399740219]","[0.5551238656044006, 0.2707713842391968]","[0.11273117363452911, 0.20005536079406738]","[-0.09376466274261475, 0.01667088456451893]"
208,"[0.43042123317718506, -0.15993523597717285]","[0.4510428011417389, 0.23754878342151642]","[0.1085551530122757, 0.18675453960895538]","[-0.08826324343681335, 0.0164520014077425]"
209,"[0.401115357875824, -0.15448051691055298]","[0.37763887643814087, 0.20885376632213593]","[0.10443863272666931, 0.17434407770633698]","[-0.08307968080043793, 0.01621108688414097]"
210,"[0.37379753589630127, -0.14908382296562195]","[0.3255864381790161, 0.18458546698093414]","[0.10039174556732178, 0.16276022791862488]","[-0.07819624245166779, 0.01595011167228222]"
211,"[0.34833425283432007, -0.1437506377696991]","[0.2880209982395172, 0.16431070864200592]","[0.0964229553937912, 0.15194489061832428]","[-0.07359550893306732, 0.015671709552407265]"
212,"[0.32459867000579834, -0.13848865032196045]","[0.26012423634529114, 0.147413432598114]","[0.09253960847854614, 0.14184443652629852]","[-0.06926146149635315, 0.015378499403595924]"
213,"[0.3024718165397644, -0.13330554962158203]","[0.2386247217655182, 0.13324642181396484]","[0.0887477919459343, 0.13241007924079895]","[-0.06517866253852844, 0.015072518959641457]"
214,"[0.28184202313423157, -0.1282101571559906]","[0.22135484218597412, 0.12122635543346405]","[0.0850524753332138, 0.1235964447259903]","[-0.06133295223116875, 0.014755414798855782]"
215,"[0.2626056373119354, -0.1232103556394577]","[0.2069050371646881, 0.1108723133802414]","[0.08145762979984283, 0.11536169052124023]","[-0.057710614055395126, 0.014429694041609764]"
216,"[0.24466612935066223, -0.11831400543451309]","[0.19437260925769806, 0.10181061923503876]","[0.07796646654605865, 0.10766731202602386]","[-0.05429884418845177, 0.014096507802605629]"
217,"[0.2279343605041504, -0.11352802067995071]","[0.183185875415802, 0.09376145154237747]","[0.07458081841468811, 0.10047732293605804]","[-0.05108567699790001, 0.013757670298218727]"
218,"[0.21232765913009644, -0.10885816812515259]","[0.1729850172996521, 0.08652019500732422]","[0.07130208611488342, 0.09375838935375214]","[-0.0480596162378788, 0.013414787128567696]"
219,"[0.1977691650390625, -0.10430990159511566]","[0.163544699549675, 0.07993902266025543]","[0.06813134253025055, 0.08747968077659607]","[-0.045209940522909164, 0.013068942353129387]"
220,"[0.18418799340724945, -0.09988723695278168]","[0.15472161769866943, 0.07391126453876495]","[0.06506848335266113, 0.08161227405071259]","[-0.0425264947116375, 0.01272173784673214]"
221,"[0.17151817679405212, -0.09559343010187149]","[0.14642401039600372, 0.06835931539535522]","[0.06211310625076294, 0.07612933218479156]","[-0.03999975696206093, 0.012373672798275948]"
222,"[0.15969854593276978, -0.09143078327178955]","[0.1385912448167801, 0.06322555243968964]","[0.0592646524310112, 0.07100588083267212]","[-0.03762069717049599, 0.012026259675621986]"
223,"[0.14867229759693146, -0.08740074932575226]","[0.1311810463666916, 0.058465950191020966]","[0.05652184039354324, 0.06621865928173065]","[-0.035380709916353226, 0.011680083349347115]"
224,"[0.138386532664299, -0.08350418508052826]","[0.12416213750839233, 0.05404588580131531]","[0.05388312041759491, 0.061745673418045044]","[-0.8983546495437622, -3.2794485092163086]"
225,"[0.12879210710525513, -0.07974115759134293]","[0.11750997602939606, 0.04993709921836853]","[0.0513467937707901, 0.05756668746471405]","[-0.7275463342666626, -3.1246631145477295]"
226,"[0.11984306573867798, -0.07611105591058731]","[0.11120344698429108, 0.046115607023239136]","[0.04891076683998108, 0.053662724792957306]","[-0.5996603965759277, -2.995720386505127]"
227,"[0.11149674654006958, -0.0726129561662674]","[0.10522453486919403, 0.04256068915128708]","[0.04657290130853653, 0.050015904009342194]","[-0.5044298768043518, -2.8866405487060547]"
228,"[0.103713259100914, -0.06924531608819962]","[0.09955637156963348, 0.03925361484289169]","[0.044330865144729614, 0.046609699726104736]","[-0.43323448300361633, -2.7927308082580566]"
229,"[0.09645544737577438, -0.06600615382194519]","[0.09418380260467529, 0.036177679896354675]","[0.04218214750289917, 0.043428413569927216]","[-0.37931498885154724, -2.710350751876831]"
230,"[0.08968860656023026, -0.06289336085319519]","[0.08909203112125397, 0.03331739455461502]","[0.04012412577867508, 0.040457583963871]","[-0.3376222550868988, -2.6366724967956543]"
231,"[0.08338020741939545, -0.05990428477525711]","[0.08426740765571594, 0.030658530071377754]","[0.03815433382987976, 0.03768360614776611]","[-0.30450239777565, -2.569490671157837]"
232,"[0.07750004529953003, -0.05703634023666382]","[0.0796961709856987, 0.028187746182084084]","[0.036269865930080414, 0.035093680024147034]","[-0.2773674726486206, -2.5070812702178955]"
233,"[0.07201971113681793, -0.05428660660982132]","[0.07536597549915314, 0.02589261345565319]","[0.0344681516289711, 0.03267601132392883]","[-0.25440892577171326, -2.448094367980957]"
234,"[0.06691287457942963, -0.05165184289216995]","[0.07126480340957642, 0.02376166172325611]","[0.03274637833237648, 0.03041926957666874]","[-0.2343757450580597, -2.3914754390716553]"
235,"[0.062154579907655716, -0.04912879317998886]","[0.067380890250206, 0.021783778443932533]","[0.03110181912779808, 0.02831314317882061]","[-0.21640938520431519, -2.336402654647827]"
236,"[0.05772196501493454, -0.04671427607536316]","[0.06370288878679276, 0.019948991015553474]","[0.029531776905059814, 0.02634773589670658]","[-0.19992494583129883, -2.2822370529174805]"
237,"[0.05359317362308502, -0.044404976069927216]","[0.06022097170352936, 0.01824771799147129]","[0.028033537790179253, 0.024514006450772285]","[-0.1845279335975647, -2.2284865379333496]"
238,"[0.04974822700023651, -0.0421973280608654]","[0.05692470073699951, 0.016670914366841316]","[0.026604503393173218, 0.02280327118933201]","[-0.16995474696159363, -2.1747753620147705]"
239,"[0.04616798460483551, -0.04008812829852104]","[0.05380488559603691, 0.015210291370749474]","[0.025241902098059654, 0.02120761014521122]","[-0.1560327112674713, -2.1208207607269287]"
240,"[0.04283501207828522, -0.03807392716407776]","[0.05085191875696182, 0.01385805569589138]","[0.02394333854317665, 0.019719386473298073]","[-0.14265145361423492, -2.0664138793945312]"
241,"[0.039732590317726135, -0.03615129739046097]","[0.04805755615234375, 0.012606849893927574]","[0.02270607277750969, 0.01833171211183071]","[-0.12974299490451813, -2.0114052295684814]"
242,"[0.03684545308351517, -0.034316882491111755]","[0.045413292944431305, 0.011449651792645454]","[0.02152777463197708, 0.017037948593497276]","[-0.11726872622966766, -1.9556952714920044]"
